Brand,Processor_Speed,RAM_Size,Storage_Capacity,Screen_Size,Weight,Price
1,3.830295706,16,512,11.18514743,2.641094425,17395.09306
2,2.912832959,4,1000,11.3113718,3.260012222,31607.60592
3,3.24162706,4,256,11.85302268,2.029060648,9291.023542
2,3.806248453,16,512,12.28036009,4.573865273,17436.72833
2,3.268096586,32,1000,14.99087717,4.193472033,32917.99072
4,1.881347607,16,256,11.94395768,4.840268106,9543.71998
3,2.9407209,32,256,11.71324635,4.344846438,10390.13732
3,3.016787616,4,256,15.58831485,2.941119536,9214.484506
3,2.560326678,4,512,15.0263317,2.743620076,16372.17528
2,3.341110589,32,512,13.61194533,4.093148923,18501.83273
1,3.835917537,4,1000,14.29585863,3.092338325,31967.60763
3,3.813921282,32,512,12.87190412,3.698645047,18534.10863
2,2.627098429,8,512,13.89500252,2.018772413,17495.98364
4,1.783095115,16,256,14.04003589,2.185657105,9731.982415
1,3.962102997,8,256,13.32342363,3.606103824,9831.389962
4,3.597245216,32,256,16.43943326,3.698214939,11038.92813
1,1.811656703,16,256,11.09637119,4.254358833,8971.512505
2,3.802104707,32,256,15.69302758,2.395895959,10915.05717
5,3.674740905,16,256,11.74629699,3.539549251,9637.891638
1,2.797095143,16,256,15.78528416,2.583342933,9593.110592
4,2.978188589,16,1000,14.69547149,2.279588359,31965.35661
2,2.49750676,16,1000,16.05966855,3.231487382,32025.83669
1,1.636904097,32,1000,11.58508595,2.490009944,32764.27443
